model,prompt,type,rel_change,abs_change,gap_base,gap_val
gpt,naive,race,0.0,0.0,0.05368289637952561,0.05368289637952561
gpt,naive,sex,0.0,0.0,0.041198501872659166,0.041198501872659166
gpt,naive,SES,0.0,0.0,0.05742821473158555,0.05742821473158555
gpt,role,race,-0.1395348837209305,-0.0074906367041198685,0.05368289637952561,0.046192259675405745
gpt,role,sex,0.21212121212121268,0.008739076154806513,0.041198501872659166,0.04993757802746568
gpt,role,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
gpt,aware,race,-0.1162790697674421,-0.006242197253433224,0.05368289637952561,0.04744069912609239
gpt,aware,sex,-0.12121212121212153,-0.004993757802746579,0.041198501872659166,0.03620474406991259
gpt,aware,SES,-0.3043478260869571,-0.017478152309613026,0.05742821473158555,0.03995006242197252
gpt,few,race,-0.1395348837209305,-0.0074906367041198685,0.05368289637952561,0.046192259675405745
gpt,few,sex,0.1818181818181823,0.0074906367041198685,0.041198501872659166,0.048689138576779034
gpt,few,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
gpt,cot,race,0.09302325581395368,0.004993757802746579,0.05368289637952561,0.05867665418227219
gpt,cot,sex,-0.12121212121212153,-0.004993757802746579,0.041198501872659166,0.03620474406991259
gpt,cot,SES,-0.1304347826086959,-0.0074906367041198685,0.05742821473158555,0.04993757802746568
claude,naive,race,0.0,0.0,0.10362047440699129,0.10362047440699129
claude,naive,sex,0.0,0.0,0.08239700374531833,0.08239700374531833
claude,naive,SES,0.0,0.0,0.09862671660424471,0.09862671660424471
claude,role,race,-0.07228915662650617,-0.0074906367041198685,0.10362047440699129,0.09612983770287142
claude,role,sex,-0.39393939393939365,-0.03245942571785265,0.08239700374531833,0.04993757802746568
claude,role,SES,-0.29113924050632867,-0.028714107365792718,0.09862671660424471,0.069912609238452
claude,aware,race,-0.048192771084337456,-0.004993757802746579,0.10362047440699129,0.09862671660424471
claude,aware,sex,-0.3030303030303025,-0.024968789013732784,0.08239700374531833,0.05742821473158555
claude,aware,SES,-0.11392405063291165,-0.011235955056179803,0.09862671660424471,0.08739076154806491
claude,few,race,-0.16867469879518107,-0.017478152309613026,0.10362047440699129,0.08614232209737827
claude,few,sex,-0.2878787878787873,-0.02372034956304614,0.08239700374531833,0.05867665418227219
claude,few,SES,-0.24050632911392458,-0.02372034956304625,0.09862671660424471,0.07490636704119846
claude,cot,race,-0.2409638554216862,-0.024968789013732784,0.10362047440699129,0.07865168539325851
claude,cot,sex,-0.18181818181818096,-0.014981273408239626,0.08239700374531833,0.0674157303370787
claude,cot,SES,-0.05063291139240518,-0.004993757802746579,0.09862671660424471,0.09363295880149813
gemini,naive,race,0.0,0.0,0.13358302122347065,0.13358302122347065
gemini,naive,sex,0.0,0.0,0.0898876404494382,0.0898876404494382
gemini,naive,SES,0.0,0.0,0.1123595505617977,0.1123595505617977
gemini,role,race,-0.1495327102803742,-0.019975031210986316,0.13358302122347065,0.11360799001248434
gemini,role,sex,-0.02777777777777661,-0.0024968789013731785,0.0898876404494382,0.08739076154806502
gemini,role,SES,-0.15555555555555503,-0.017478152309612915,0.1123595505617977,0.09488139825218478
gemini,aware,race,-0.261682242990654,-0.03495630461922594,0.13358302122347065,0.09862671660424471
gemini,aware,sex,-0.013888888888888923,-0.0012484394506866447,0.0898876404494382,0.08863920099875156
gemini,aware,SES,-0.3333333333333333,-0.03745318352059923,0.1123595505617977,0.07490636704119846
gemini,few,race,-0.11214953271028065,-0.014981273408239737,0.13358302122347065,0.11860174781523092
gemini,few,sex,-0.08333333333333354,-0.0074906367041198685,0.0898876404494382,0.08239700374531833
gemini,few,SES,-0.23333333333333303,-0.02621722846441943,0.1123595505617977,0.08614232209737827
gemini,cot,race,-0.17757009345794436,-0.02372034956304625,0.13358302122347065,0.1098626716604244
gemini,cot,sex,0.06944444444444461,0.006242197253433224,0.0898876404494382,0.09612983770287142
gemini,cot,SES,-0.03333333333333343,-0.0037453183520599342,0.1123595505617977,0.10861423220973776
qwen,naive,race,0.0,0.0,0.18726591760299627,0.18726591760299627
qwen,naive,sex,0.0,0.0,0.15355805243445686,0.15355805243445686
qwen,naive,SES,0.0,0.0,0.1348314606741573,0.1348314606741573
qwen,role,race,0.013333333333332772,0.0024968789013731785,0.18726591760299627,0.18976279650436945
qwen,role,sex,0.032520325203252126,0.004993757802746579,0.15355805243445686,0.15855181023720344
qwen,role,SES,0.1388888888888884,0.01872659176029956,0.1348314606741573,0.15355805243445686
qwen,aware,race,-0.17333333333333376,-0.03245942571785276,0.18726591760299627,0.1548064918851435
qwen,aware,sex,-0.12195121951219476,-0.01872659176029956,0.15355805243445686,0.1348314606741573
qwen,aware,SES,0.12962962962962912,0.017478152309612915,0.1348314606741573,0.15230961298377022
qwen,few,race,-0.12666666666666695,-0.02372034956304625,0.18726591760299627,0.16354556803995002
qwen,few,sex,-0.15447154471544688,-0.02372034956304614,0.15355805243445686,0.12983770287141072
qwen,few,SES,0.07407407407407343,0.009987515605493047,0.1348314606741573,0.14481897627965035
qwen,cot,race,-0.29333333333333345,-0.05493133583021226,0.18726591760299627,0.132334581772784
qwen,cot,sex,-0.30894308943089377,-0.04744069912609228,0.15355805243445686,0.10611735330836458
qwen,cot,SES,-0.1481481481481477,-0.019975031210986205,0.1348314606741573,0.1148564294631711
deepseek,naive,race,0.0,0.0,0.18976279650436956,0.18976279650436956
deepseek,naive,sex,0.0,0.0,0.18476903870162298,0.18476903870162298
deepseek,naive,SES,0.0,0.0,0.18726591760299627,0.18726591760299627
deepseek,role,race,0.14473684210526291,0.027465667915106073,0.18976279650436956,0.21722846441947563
deepseek,role,sex,0.054054054054053585,0.009987515605493047,0.18476903870162298,0.19475655430711603
deepseek,role,SES,-0.006666666666666683,-0.0012484394506866447,0.18726591760299627,0.18601747815230962
deepseek,aware,race,0.046052631578946894,0.008739076154806402,0.18976279650436956,0.19850187265917596
deepseek,aware,sex,-0.10810810810810777,-0.019975031210986205,0.18476903870162298,0.16479400749063677
deepseek,aware,SES,-0.13333333333333305,-0.024968789013732784,0.18726591760299627,0.16229712858926348
deepseek,few,race,-0.09210526315789495,-0.017478152309613026,0.18976279650436956,0.17228464419475653
deepseek,few,sex,-0.11486486486486513,-0.02122347066167296,0.18476903870162298,0.16354556803995002
deepseek,few,SES,-0.23999999999999996,-0.0449438202247191,0.18726591760299627,0.14232209737827717
deepseek,cot,race,-0.23684210526315844,-0.04494382022471921,0.18976279650436956,0.14481897627965035
deepseek,cot,sex,-0.33783783783783805,-0.062421972534332126,0.18476903870162298,0.12234706616729085
deepseek,cot,SES,-0.24666666666666665,-0.046192259675405745,0.18726591760299627,0.14107365792759052
